smiles,MW,logP,n_rot,n_hbd,n_hba,tpsa,valid,lipinski
CCN=C=NCCCN(C)C,155.245,1.1319000000000001,5,0,3,27.96,True,True
O=C1CCC(=O)N1c1ccccc1O,191.186,1.0455999999999999,1,1,3,57.61,True,True
O=C1C=CC(=O)N1CCCCCO,183.207,0.0739999999999999,5,1,3,57.61,True,True
O=C(O)CCN1C(=O)C=CC1=O,169.136,-0.6139000000000001,3,1,3,74.68,True,True
N#CCCSc1ccccc1,163.245,2.692380000000001,3,0,2,23.79,True,True
CCCOC(=O)OCCCS,178.253,1.8695,5,1,4,35.53,True,True
O=C(O)CCSSCC(=O)O,196.249,0.9271,6,2,4,74.6,True,True
OCCOCCOCCO,150.174,-0.9958000000000002,7,2,4,58.92,True,True
OCCOCCOCCOCCO,194.22699999999998,-0.979199999999999,10,2,5,68.15,True,True
NCC(=O)OCCOCCOCCO,207.22599999999994,-1.4861999999999986,9,2,6,91.01000000000002,True,True
CC(C)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O,273.337,-1.1976299999999966,8,6,4,154.32,True,False
COc1ccc(C(=O)N[C@@H](C)C(=O)O)cc1,223.228,0.8980999999999998,4,2,3,75.63,True,True
CC[C@H](C)[C@@H](OC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(C)C)NC(C)=O)C(N)=O,433.54900000000026,1.7079000000000013,12,3,5,127.59,True,True
CCC1(O)C(=O)OCc2cc3nc4n(c(=O)c3cc21)CCC4,300.31400000000014,0.9971000000000001,1,1,5,81.41999999999999,True,True
O=C1c2cc(O)ccc2C(=O)c2c(O)cccc21,240.21399999999997,1.8731999999999998,0,2,4,74.6,True,True
CC(=O)N1C(=O)C=C(C)C(CC(=O)O)C1=O,225.19999999999996,-0.06109999999999999,2,1,4,91.75,True,True
c1ccc2[nH]cnc2c1,118.13899999999998,1.5629,0,1,1,28.68,True,True
c1cncnc1,80.08999999999999,0.4765999999999999,0,0,2,25.78,True,True
c1ccc2[nH]ccc2c1,117.15099999999997,2.1678999999999995,0,1,0,15.79,True,True
c1ccc2ncccc2c1,129.16199999999998,2.2348,0,0,1,12.89,True,True
C1CNCCN1,86.138,-0.8208,0,2,2,24.06,True,True
C1COCCN1,87.122,-0.3938000000000001,0,1,2,21.259999999999998,True,True
c1ccsc1,84.14299999999999,1.7480999999999998,0,0,1,0.0,True,True
c1ccoc1,68.07499999999999,1.2795999999999998,0,0,1,13.14,True,True
c1cocn1,69.063,0.6745999999999999,0,0,2,26.03,True,True
c1c[nH]nn1,69.067,-0.19530000000000008,0,1,2,41.57,True,True
